name,tags,score,lat,lon
Копирка,"['Копировальный центр', 'фотоуслуги']","4,8",38.075952,54.887228
Поиск юг,['Агентство недвижимости'],"5,0",38.18918,54.856651
Зоостудия Ковчег,['Сельскохозяйственное предприятие'],"5,0",38.207183,54.835434
Центр Недвижимости,"['Агентство недвижимости', 'продажа и аренда коммерческой недвижимости']","5,0",38.249717,54.852278
Перспектива 24,"['Агентство недвижимости', 'продажа и аренда коммерческой недвижимости']","5,0",38.072456,54.891377
Нотариус Лукина О.Н.,['Нотариусы'],"4,9",38.072279,54.891262
Нотариус Коротова Ирина Анатольевна,['Нотариусы'],"4,8",38.151779,54.835653
Проспект недвижимость,"['Агентство недвижимости', 'ипотечное агентство']","4,9",38.085531,54.889802
Color Life Studio,"['Фотоуслуги', 'типография']","4,3",38.192102,54.838442
Нотариальная контора,['Нотариусы'],"4,7",38.075339,54.883329
Fotozakaz.com,"['Фотоуслуги', 'магазин подарков и сувениров']","4,5",38.073197,54.890539
Центр Недвижимости и Права Аргумент,"['Агентство недвижимости', 'юридические услуги']","4,9",38.053799,54.880931
Фотоцентр,"['Фотоуслуги', 'фотомагазин']","4,2",38.151153,54.83242
Домников,"['Агентство недвижимости', 'земельные участки']","4,6",38.067396,54.881286
Фото-Бокс,"['Фотоуслуги', 'копировальный центр']","4,3",38.06284,54.887235
1История,"['Печать на футболках, одежде']","4,9",38.078592,54.898207
Кадастровый инженер Красина Е. И.,['Кадастровые работы'],"4,9",38.073851,54.899788
Bubble,"['Копировальный центр', 'фотоуслуги']","4,3",38.075635,54.887175
Объектив,"['Фотоуслуги', 'магазин канцтоваров']","4,4",38.06449,54.887923
Бюро квартир,"['Агентство недвижимости', 'ипотечное агентство']","4,5",38.053345,54.885421
Виринка,"['Фотоуслуги', 'печать на футболках, одежде']","4,4",38.053978,54.885772
Кописалон,"['Копировальный центр', 'фотоуслуги']","4,1",38.078794,54.894332
МосОблЕИРЦ,['Расчётно-кассовый центр'],"4,1",38.152007,54.830845
Da Vinci,['Организация мероприятий'],"4,1",38.152496,54.839884
Лайм,['Фотоуслуги'],"3,5",38.192007,54.84135
